,l,ls,epi,smt,para,i
254,0.40264840735981344,0.0002222075540360067,10,15,6,26
255,0.4022318680614548,0.00019499869754472163,10,16,7,27
256,0.402930484979296,0.0001436007442417826,10,17,8,28
257,0.4288096939365867,0.00024444604586599015,10,18,1,31
258,0.4132532551400387,0.00015534590807557557,10,19,2,32
259,0.4102202439474524,0.0002404985039199065,10,20,3,33
260,0.4050714289227154,0.00022143328632195428,10,21,4,34
261,0.40095336719130137,0.000241292637608475,10,22,5,35
262,0.4072391979531093,0.00036946640616509303,10,23,6,36
263,0.40550653877388426,0.00011169935833589861,10,24,7,37
264,0.4477691038327687,0.00012327754612630833,11,1,1,11
265,0.4194122227376808,0.0003701815688628788,11,2,2,12
266,0.4115750040515138,0.00016194201625438118,11,3,3,13
267,0.4134704560211362,0.00023381737337087018,11,4,4,14
268,0.41602315496467335,0.00026518872599071304,11,5,5,15
269,0.4173617116273215,0.0002267010459821476,11,6,6,16
270,0.4099240810850188,0.0001715932304475383,11,7,7,17
271,0.4092048573762612,6.976480544760121e-05,11,8,8,18
272,0.4149516262863997,0.000219826985656632,11,9,9,19
273,0.4425273826579247,0.00019941106878687865,11,10,1,21
274,0.4130447622008672,0.0004641183822635494,11,11,2,22
275,0.40527467686090907,0.0003480001164811201,11,12,3,23
276,0.4094650275814735,0.00014048852377181916,11,13,4,24
277,0.4038487064618157,0.0003452888345223287,11,14,5,25
278,0.4061630959936969,0.0003094977494425541,11,15,6,26
279,0.40010333121328456,0.00031001325171482996,11,16,7,27
280,0.3972731378146391,0.0003666168480004892,11,17,8,28
281,0.4410239623359144,0.00030704288165194865,11,18,1,31
282,0.41718153134774777,0.00024583552031135067,11,19,2,32
283,0.4032438444799462,0.00025762321068260316,11,20,3,33
284,0.39610923401321374,0.00020242603601423607,11,21,4,34
285,0.4049077048513701,0.00032472876195394665,11,22,5,35
286,0.40120027296931177,0.0004639772183663754,11,23,6,36
287,0.3979268552690472,0.0001682542613334412,11,24,7,37
288,0.4491895036905072,0.0003800158444524193,12,1,1,11
289,0.4245192162769451,0.00011754613066096272,12,2,2,12
290,0.4192257040964298,0.00020654290296307968,12,3,3,13
291,0.4180002845829889,0.0005490606153638557,12,4,4,14
292,0.41162217085869657,0.00047556724124966194,12,5,5,15
293,0.4105023319387959,0.00027522688132000216,12,6,6,16
